ZIP,mean,median,min,max,count
10001,5900805.316472114,560269.0,0.0,698700000.0,2313
10002,1701033.7140157481,437000.0,0.0,247291650.0,3175
10003,2595515.1624775585,393051.5,0.0,183000000.0,4456
10004,7147863.341494845,333854.0,0.0,304042000.0,776
10005,2453043.5609339406,233558.5,0.0,371111111.0,1756
10006,2816711.6449375865,129255.0,0.0,447146560.0,721
10007,2703064.3239700375,358719.0,0.0,650000000.0,1602
10009,2008582.3730378577,779000.0,0.0,807000000.0,2166
10010,2729743.649147233,284236.0,0.0,383000000.0,2873
10011,1867095.6735900764,317122.0,0.0,533000000.0,6933
10012,2538755.4857250187,694822.5,0.0,102000000.0,2662
10013,1609889.4437908498,368461.0,0.0,266666666.0,6120
10014,2371958.4605053496,535642.0,0.0,1145000000.0,4393
10016,1575597.3586840418,186492.0,0.0,477760000.0,9362
10017,5319032.010088272,217451.0,0.0,925555555.0,3965
10018,8523820.02705314,1480000.0,0.0,292879000.0,1035
10019,2752609.230037413,214851.0,0.0,691000000.0,9355
10020,26945374.975,9401027.5,0.0,814000000.0,120
10021,2565418.6656891494,338723.0,0.0,179000000.0,4433
10022,4619499.901348353,282768.0,0.0,1020000000.0,5859
10023,1389400.602752679,218605.0,0.0,502352000.0,9518
10024,2077436.1333743085,281329.0,0.0,684000000.0,4881
10025,1057102.4498207886,122168.5,0.0,244000000.0,7254
10026,608224.8234726688,183847.5,0.0,49100000.0,3110
10027,1717860.3403790088,761000.0,0.0,254000000.0,2744
10028,4151059.1344778254,336356.0,0.0,6150000000.0,3495
10029,1897972.516923077,580000.0,0.0,431000000.0,2275
10030,806106.8050647822,500000.0,0.0,31900000.0,1698
10031,1095292.736091954,641000.0,0.0,201000000.0,2175
10032,2005034.219772404,597000.0,0.0,310000000.0,1406
10033,1482831.611111111,672000.0,0.0,41800000.0,1044
10034,2134956.403076923,960000.0,0.0,114000000.0,650
10035,1356385.3887254903,564000.0,0.0,173000000.0,2040
10036,5150068.277348949,255991.0,0.0,1120000000.0,3757
10037,1750451.0912547528,482000.0,0.0,134000000.0,526
10038,2225399.7205177373,212237.5,0.0,186000000.0,2086
10039,1318129.9144295303,248500.0,0.0,85900000.0,596
10040,1955257.2527472528,898500.0,0.0,91300000.0,546
10044,1849605.4710884353,179778.5,0.0,473000000.0,588
10065,2567758.7993636904,268530.0,0.0,375000000.0,5029
10069,514051.26227333036,227392.0,0.0,118000000.0,2261
10075,1815922.6855307433,226342.0,0.0,183885000.0,3269
10128,1508939.012731668,227023.0,0.0,161000000.0,6205
10280,514331.38665912946,177668.0,0.0,417000000.0,3538
10301,535073.0481042042,394000.0,0.0,50500000.0,7754
10302,382264.4209666122,323000.0,0.0,38190000.0,4283
10303,389254.47312760056,284000.0,0.0,128000000.0,5768
10304,504607.6390317052,371000.0,0.0,43800000.0,9336
10305,458642.4211764706,378000.0,0.0,153194482.0,10625
10306,486163.9851610568,401000.0,0.0,433200000.0,16578
10307,568355.0517848165,502660.0,0.0,30500000.0,3978
10308,442658.80333450745,403000.0,0.0,48215000.0,8517
10309,570296.5163551401,464000.0,0.0,58400000.0,9416
10310,421146.1006153334,361000.0,0.0,80200000.0,6013
10312,491620.51315716887,416000.0,0.0,75400000.0,18127
10314,483258.8302040153,395000.0,0.0,378000000.0,24606
10451,2651730.903183024,381500.0,0.0,1663775000.0,1508
10452,967533.3790589795,472000.0,0.0,33970000.0,1509
10453,828037.1285296981,432000.0,0.0,80000000.0,2054
10454,903566.6648841355,392000.0,0.0,142000000.0,1683
10455,780666.8997304583,403000.0,0.0,31755914.0,1855
10456,705923.6805424156,390000.0,0.0,39370000.0,3171
10457,800006.6924851681,410000.0,0.0,106110000.0,3034
10458,1004174.7107142857,439000.0,0.0,325000000.0,2800
10459,603499.0654824103,377000.0,0.0,30800000.0,2871
10460,733236.4599353216,421000.0,0.0,155100000.0,2783
10461,662084.5341823057,444000.0,0.0,291500000.0,7460
10462,197014.8167406093,30286.0,0.0,190000000.0,16905
10463,984913.002655161,492000.0,0.0,67700000.0,3013
10464,473320.46812620736,458000.0,0.0,11200000.0,1553
10465,545041.322588291,408000.0,0.0,205000000.0,8438
10466,460262.3083443417,386000.0,0.0,59400000.0,9084
10467,775512.2580049261,438000.0,0.0,175000000.0,4872
10468,1459591.2088377725,469500.0,0.0,468100000.0,1652
10469,477640.09718948323,404000.0,0.0,50650000.0,11030
10470,512089.757483731,445000.0,0.0,43030000.0,2305
10471,1180929.567774936,680000.0,0.0,57400000.0,2346
10472,575514.5467980296,455000.0,0.0,39537000.0,4263
10473,490067.5409372237,365000.0,0.0,42700000.0,5655
10474,1058869.3628318585,404000.0,0.0,97890000.0,1130
10475,2202923.30713246,460000.0,0.0,307000000.0,687
11001,492039.77347611205,479000.0,0.0,7650000.0,1214
11004,726981.6089767973,480000.0,0.0,299800000.0,2629
11040,627056.7777777778,463000.0,19200.0,30000000.0,450
11101,931290.563361662,310000.0,0.0,186000000.0,5295
11102,596437.3799851375,592000.0,0.0,46500000.0,4037
11103,751662.94137095,684000.0,0.0,42300000.0,4537
11104,650154.2914875322,550500.0,0.0,28100000.0,2326
11105,704122.1688403243,640000.0,0.0,53600000.0,5674
11106,817790.1698606272,636000.0,0.0,104200000.0,3444
11109,1282927.8092783506,150292.0,0.0,105000000.0,194
11201,1498230.5428607499,189803.0,0.0,254500000.0,7921
11203,550499.1084423094,397000.0,0.0,311271272.0,11241
11204,680898.4287134978,647000.0,0.0,161300000.0,11061
11205,657843.4593605547,268090.0,0.0,72050000.0,5192
11206,550474.546764796,350000.0,0.0,150600000.0,6522
11207,491371.90311559424,431000.0,0.0,308952700.0,12293
11208,518662.3386300386,456000.0,0.0,49900000.0,11139
11209,834257.5663900415,696000.0,0.0,264100000.0,9158
11210,684401.4533913248,522000.0,0.0,126913000.0,8507
11211,512650.674822974,285000.0,0.0,225050000.0,12710
11212,567817.9351268255,427000.0,0.0,99900000.0,6505
11213,634429.4250135354,564000.0,0.0,53500000.0,5541
11214,671694.8590850633,580000.0,0.0,238637200.0,10886
11215,1069705.089403414,895000.0,0.0,322000000.0,11834
11216,593812.5733028223,578000.0,0.0,33100000.0,6555
11217,1083095.531926215,924500.0,0.0,113000000.0,5638
11218,695152.5456257061,676000.0,0.0,19894400.0,7967
11219,717147.4439805825,677000.0,0.0,136490000.0,10300
11220,706683.8493702251,674000.0,0.0,163000000.0,9686
11221,559842.0043219881,521000.0,0.0,31700000.0,9255
11222,666647.5428939321,611000.0,0.0,27200000.0,6213
11223,732965.9583837631,600000.0,0.0,40700000.0,10741
11224,526512.0825625987,288000.0,0.0,109000000.0,4433
11225,746760.2041696621,601000.0,0.0,51000000.0,4173
11226,702266.2755701451,515000.0,0.0,45100000.0,5788
11228,686742.4056822339,641000.0,0.0,50656000.0,8201
11229,570208.2439615414,497000.0,0.0,32300000.0,12793
11230,835904.7124767659,710500.0,0.0,30990000.0,8608
11231,879816.5998428909,742000.0,0.0,100450000.0,6365
11232,877196.4010775217,595000.0,0.0,269990000.0,3341
11233,543099.0122980467,515500.0,0.0,106390200.0,8294
11234,552168.99640018,456000.0,0.0,258000000.0,20001
11235,651075.543493635,501000.0,0.0,152400000.0,11312
11236,496725.67330016586,459000.0,0.0,136000000.0,15678
11237,558129.792030684,475000.0,0.0,71440000.0,4693
11238,733611.0449489562,552000.0,0.0,59860000.0,6563
11239,3197492.035897436,306624.0,0.0,57851247.0,195
11243,231363.12432432434,150759.0,0.0,7082510.0,185
11354,652588.1707550556,505000.0,0.0,72272010.0,8357
11355,559376.1795653831,498000.0,0.0,95000000.0,10492
11356,610465.1818360141,522000.0,0.0,28600000.0,5098
11357,721857.1905390315,626000.0,0.0,65700000.0,9851
11358,623351.3052643444,590000.0,0.0,35940000.0,8871
11360,664220.8458927359,597448.0,0.0,138325000.0,4419
11361,683281.5526518063,617000.0,0.0,53000000.0,6505
11362,884089.6755966878,639000.0,0.0,463478400.0,4106
11363,916145.7559437166,770000.0,0.0,19981000.0,2061
11364,711277.0790223422,612000.0,0.0,117000000.0,6669
11365,644816.2970061556,549000.0,0.0,124900000.0,7148
11366,718975.5146121148,573000.0,0.0,259500000.0,3764
11367,658603.9522986519,472000.0,0.0,410300000.0,5786
11368,788368.3238662392,605000.0,0.0,1223500000.0,8732
11369,620254.5144128458,515000.0,0.0,51240000.0,5169
11370,722683.251899474,541000.0,0.0,1021000000.0,5133
11372,796964.2609170306,586000.0,0.0,31300000.0,3664
11373,700671.5476020043,561000.0,0.0,230000000.0,9779
11374,662785.9162650602,513500.0,0.0,182125000.0,4980
11375,911146.2217678893,614000.0,0.0,116000000.0,8315
11377,678077.5917002882,558000.0,0.0,43400000.0,8675
11378,610754.0509081923,476000.0,0.0,179600000.0,8093
11379,563455.0222371215,504000.0,0.0,106100000.0,8949
11385,559481.6484820052,481000.0,0.0,242000000.0,14921
11411,372720.0342661336,353000.0,0.0,23700000.0,5253
11412,369811.85361017147,346000.0,0.0,15100000.0,8573
11413,439737.11804987735,372950.0,0.0,128222000.0,9784
11414,637261.8259127338,538000.0,0.0,540143500.0,6738
11415,878230.4806349206,559000.0,0.0,62360000.0,1575
11416,487998.6284506342,447000.0,0.0,38100000.0,4021
11417,450527.7682886461,399000.0,0.0,45600000.0,6042
11418,531812.0122788011,452000.0,0.0,103700000.0,5538
11419,446407.5193121693,417000.0,0.0,30800000.0,7560
11420,449682.6318284668,405000.0,0.0,94900000.0,9281
11421,494155.14791963296,432000.0,0.0,133000000.0,6321
11422,495513.13994646043,385000.0,0.0,374019883.0,6724
11423,524463.0567829458,418000.0,0.0,27200000.0,5160
11426,568843.4162516976,435000.0,0.0,183713109.0,4418
11427,577189.6754982416,454000.0,0.0,92000000.0,4265
11428,416454.18387020926,374000.0,0.0,31140000.0,4253
11429,384745.855205214,353000.0,0.0,20400000.0,5677
11432,846606.3348390739,545000.0,0.0,518500000.0,7084
11433,457632.7688102894,372000.0,0.0,55210000.0,6220
11434,481252.19790575915,353000.0,0.0,197000000.0,10505
11435,553731.9833897759,425000.0,0.0,81980000.0,6201
11436,384746.56890215894,334000.0,0.0,31230000.0,4354
11691,525884.7507876969,392000.0,0.0,31000000.0,6665
11692,743617.6534036433,355000.0,0.0,175980000.0,2086
